question_num,question,a,b,c,d,correct_answer
396,Trường hợp nào dưới đây chủ thể không vi phạm pháp luật?,cháu hát bị trói tay và bị đổ ma túy đá vào miệng,anh B phát hiện kẻ móc túi nhưng không báo với ai,chị L che dấu hành vi buôn bán ma túy của người thân trong gia đình,cảnh sát giao thông không xử phạt vi phạm của anh T vì quen biết,a
397,Nghĩa vụ mà các cá nhân hoặc tổ chức phải gánh chịu hậu quả bất lợi từ hành vi vi phạm pháp luật của mình là nội dung của khái niệm nào dưới đây?,trách nhiệm pháp lý,nghĩa vụ pháp lý,vi phạm pháp luật,thực hiện pháp luật,a
398,"Anh A đi xe máy phóng nhanh vượt ẩu nên đâm vào người đi đường làm họ bị chấn thương, tổn hại sức khỏe là 31% và xe máy bị hỏng nặng, trường hợp này anh A phải chịu những loại trách nhiệm pháp lý nào dưới đây?",Hình sự và hành chính,Dân sự và hành chính,Hình sự và dân sự,Kỷ luật và dân sự,c
399,Hành vi nào dưới đây phải chịu trách nhiệm hình sự?,cố ý lây truyền HIV cho người khác,điều khiển xe máy đi ngược chiều của của đường một chiều,không thực hiện chia tài sản theo di chúc của người mất,lấy trộm ví tiền giá trị 450.000 đồng,a
400,Người từ đủ 14 tuổi đến dưới 16 tuổi phải chịu trách nhiệm hình sự về…,mọi tội phạm,tội phạm nghiêm trọng do vô ý,tội phạm đặc biệt nghiêm trọng,tội phạm do lỗi cố ý,c
401,Người có hành vi vi phạm hình sự trước hết phải chịu trách nhiệm…,Hình sự,Hành chính,Dân sự,Kỷ luật,a
402,Vi phạm hành chính là những hành vi xâm phạm…,kỷ luật lao động,kỷ luật của tổ chức,quy tắc quản lý nhà nước,quy tắc quản lý hành chính,c
403,Hình thức khiển trách cảnh cáo chuyển công tác khác khi xâm phạm các quan hệ công vụ nhà nước do pháp luật hành chính bảo vệ được áp dụng với người có hành vi nào dưới đây?,vi phạm hành chính,vi phạm dân sự,vi phạm hình sự,vi phạm kỷ luật,d
404,Vi phạm dân sự là những hành vi vi phạm pháp luật xâm phạm tới quan hệ nào dưới đây?,quan hệ sở hữu và quan hệ nhân thân,quan hệ sở hữu và quan hệ tình cảm,quan hệ tài sản và quan hệ tình cảm,quan hệ tài sản và quan hệ nhân thân,d
405,Bồi thường thiệt hại về vật chất khi có các hành vi xâm phạm tới các quan hệ tài sản và quan hệ nhân thân được áp dụng với những hành vi vi phạm…?,hành chính,dân sự,hình sự,kỷ luật,b
406,Vi phạm hành chính là những hành vi vi phạm quy định của pháp luật về quản lý Nhà nước do…?,tổ chức kinh tế thực hiện,tổ chức chính trị thực hiện,cá nhân thực hiện,cá nhân hoặc tổ chức thực hiện,d
407,"Cơ quan X bị mất một số tài sản do bảo vệ cơ quan quên không khóa cổng, vậy bảo vệ cơ quan này phải chịu trách nhiệm pháp lý nào dưới đây?",trách nhiệm hình sự,trách nhiệm dân sự,trách nhiệm hành chính,trách nhiệm kỷ luật,d
408,Hành vi không lạng lách đánh võng khi đi xe máy trên đường của anh A là biểu hiện hình thức thực hiện pháp luật nào dưới đây?,Sử dụng pháp luật,Tuân thủ pháp luật,Thi hành pháp luật,Áp dụng pháp luật,b
409,Cảnh sát giao thông xử phạt người chở hàng cồng kềnh khi tham gia giao thông là biểu hiện của hình thức thực hiện pháp luật nào dưới đây?,Sử dụng pháp luật,Thi hành pháp luật,Tuân thủ pháp luật,Áp dụng pháp luật,d
410,Anh M sử dụng điện thoại di động khi đang điều khiển xe máy. Công an đã xử phạt hành chính anh M việc làm của công an là biểu hiện của hình thức thực hiện pháp luật nào dưới đây?,Tuân thủ pháp luật,Sử dụng pháp luật,Thi hành pháp luật,Áp dụng pháp luật,d
411,Hành vi không đội mũ bảo hiểm khi tham gia giao thông trên đường của người điều khiển người ngồi trên xe mô tô là vi phạm hình thức thực hiện pháp luật nào dưới đây?,Tuân thủ pháp luật,Thi hành pháp luật,Sử dụng pháp luật,Áp dụng pháp luật,a
412,"Chị M điều khiển xe máy vượt quá tốc độ cho phép nên đã bị cảnh sát giao thông X lập biên bản và xử phạt hành chính, hành vi của cảnh sát giao thông X là biểu hiện của hình thức thực hiện pháp luật nào dưới đây?",Sử dụng pháp luật,Áp dụng pháp luật,Thi hành pháp luật,Tuân thủ pháp luật,b
413,Hành vi phạm tội nào không phải xảy ra trên lãnh thổ Việt Nam sau đây?,Hành vi phạm tội bắt đầu trên lãnh thổ Việt Nam,Hành vi phạm tội diễn ra trên lãnh thổ Việt Nam,Hành vi phạm tội kết thúc trên lãnh thổ Việt Nam,Hành vi phạm tội không thuộc một trong các trường hợp đã nêu,d
414,Nhận định nào dưới đây về luật hình sự không đúng?,Là một văn bản trong hệ thống pháp luật của nước Cộng hoà xã hội chủ nghĩa Việt Nam,Là một ngành luật trong hệ thống pháp luật của nước Cộng hoà xã hội chủ nghĩa Việt Nam,Bao gồm hệ thống những quy phạm pháp luật do Nhà nước ban hành,"Xác định những hành vi nguy hiểm nào cho xã hội là tội phạm, đồng thời quy định hình phạt đối với những tội phạm ấy",a
415,Luật hình sự có những nguyên tắc nào dưới đây?,Nguyên tắc pháp chế XHCN,Nguyên tắc dân chủ XHCN,Nguyên tắc phân hóa trách nhiệm hình sự,Tất cả đều đúng,d
416,Yếu tố nào sau đây là một trong những dấu hiệu cơ bản (đặc điểm) của tội phạm?,Trái với đạo đức xã hội,Vi phạm pháp luật,Phải đươc quy định trong Bộ luật Hình sự,Phải được quy định trong các văn bản quy phạm pháp luật,c
417,Đâu là loại tội phạm nghiêm trọng?,"là tội phạm có tính chất và mức độ nguy hiểm cho xã hội không lớn mà mức cao nhất của khung hình phạt do Bộ luật này quy định đối với tội ấy là phạt tiền, phạt cải tạo không giam giữ hoặc phạt tù đến 03 năm",là tội phạm có tính chất và mức độ nguy hiểm cho xã hội lớn mà mức cao nhất của khung hình phạt do Bộ luật này quy định đối với tội ấy là từ trên 03 năm tù đến 07 năm tù,là tội phạm có tính chất và mức độ nguy hiểm cho xã hội rất lớn mà mức cao nhất của khung hình phạt do Bộ luật này quy định đối với tội ấy là từ trên 07 năm tù đến 15 năm tù,"là tội phạm có tính chất và mức độ nguy hiểm cho xã hội đặc biệt lớn mà mức cao nhất của khung hình phạt do Bộ luật này quy định đối với tội ấy là từ trên 15 năm tù đến 20 năm tù, tù chung thân hoặc tử hình",b
418,Đâu là loại tội phạm rất nghiêm trọng?,"là tội phạm có tính chất và mức độ nguy hiểm cho xã hội không lớn mà mức cao nhất của khung hình phạt do Bộ luật này quy định đối với tội ấy là phạt tiền, phạt cải tạo không giam giữ hoặc phạt tù đến 03 năm",là tội phạm có tính chất và mức độ nguy hiểm cho xã hội lớn mà mức cao nhất của khung hình phạt do Bộ luật này quy định đối với tội ấy là từ trên 03 năm tù đến 07 năm tù,là tội phạm có tính chất và mức độ nguy hiểm cho xã hội rất lớn mà mức cao nhất của khung hình phạt do Bộ luật này quy định đối với tội ấy là từ trên 07 năm tù đến 15 năm tù,"là tội phạm có tính chất và mức độ nguy hiểm cho xã hội đặc biệt lớn mà mức cao nhất của khung hình phạt do Bộ luật này quy định đối với tội ấy là từ trên 15 năm tù đến 20 năm tù, tù chung thân hoặc tử hình",c
419,Cố ý phạm tội là phạm tội trong những trường hợp sau đây?,Người phạm tội tuy thấy trước hành vi của mình có thể gây ra hậu quả nguy hại cho xã hội nhưng cho rằng hậu quả đó sẽ không xảy ra hoặc có thể ngăn ngừa được,"Người phạm tội không thấy trước hành vi của mình có thể gây ra hậu quả nguy hại cho xã hội, mặc dù phải thấy trước và có thể thấy trước hậu quả đó","Người phạm tội nhận thức rõ hành vi của mình là nguy hiểm cho xã hội, không thấy trước hậu quả của hành vi đó có thể xảy ra, tuy không mong muốn nhưng vẫn có ý thức để mặc cho hậu quả xảy ra","Người phạm tội nhận thức rõ hành vi của mình là nguy hiểm cho xã hội, thấy trước hậu quả của hành vi đó và mong muốn hậu quả xảy ra",d
420,Vô ý phạm tội là phạm tội trong những trường hợp sau đây?,Người phạm tội không thấy trước hành vi của mình có thể gây ra hậu quả nguy hại cho xã hội vì vậy cho rằng hậu quả đó sẽ không xảy ra hoặc có thể ngăn ngừa được,"Người phạm tội không thấy trước hành vi của mình có thể gây ra hậu quả nguy hại cho xã hội, mặc dù phải thấy trước và có thể thấy trước hậu quả đó","Người phạm tội nhận thức rõ hành vi của mình là nguy hiểm cho xã hội, thấy trước hậu quả của hành vi đó có thể xảy ra, tuy không mong muốn nhưng vẫn có ý thức để mặc cho hậu quả xảy ra","Người phạm tội nhận thức rõ hành vi của mình là nguy hiểm cho xã hội, thấy trước hậu quả của hành vi đó và mong muốn hậu quả xảy ra",b
421,Cơ sở của trách nhiệm hình sự là:,Hành vi được Viện kiểm sát cho phạm tội thì phải chịu trách nhiệm sự,Có hành vi gây nguy hiểm thì phải chịu trách nhiệm hình sự,Phạm tội gây thiệt hại vật chất cho người khác phải chịu trách nhiệm hình sự,Người nào phạm một tội đã được Bộ luật Hình sự quy định mới phải chịu trách nhiệm hình sự,d
422,Đâu là dấu hiệu của tội phạm?,hành vi nguy hiểm cho xã hội được quy định trong Bộ luật Hình sự,hành vi tuy có dấu hiệu của tội phạm nhưng tính chất nguy hiểm cho xã hội không đáng kể,hành vi nguy hiểm do người có năng lực hành vi dân sự thực hiện một cách cố ý hoặc vô ý,Có hành vi nguy hiểm,a
423,"Căn cứ vào tính chất và mức độ nguy hiểm cho xã hội của hành vi phạm tội được quy định trong Bộ luật Hình sự, tội phạm được phân thành mấy loại?",03 loại,04 loại,05 loại,06 loại,b
424,"Nghĩa vụ người lao động, người sử dụng lao động trong việc giải quyết tranh chấp lao động:","Cung cấp đầy đủ tài liệu cho cơ quan có thẩm quyền và thi hành mọi quyết định giải quyết tranh chấp của các cơ quan, tổ chức có thẩm quyền","Cung cấp đầy đủ tài liệu, thi hành mọi quyết định của cơ quan, tổ chức có thẩm quyền giải quyết tranh chấp","Cung cấp đầy đủ tài liệu chứng cứ cho cơ quan giải quyết tranh chấp. Thi hành mọi thoả thuận đã đạt, biên bản hoà giải có kết quả, quyết định, bản án đã có hiệu lực","Cung cấp đầy đủ mọi chứng cứ, tài liệu cho các cơ quan có thẩm quyền, thi hành tốt mọi quyết định giải quyết tranh chấp của cơ quan có thẩm quyền",c
425,"Quyền của người lao động, người sử dụng lao động trong việc giải quyết tranh chấp lao động:",Tham gia trực tiếp hoặc rút đơn không tham gia giải quyết tranh chấp. Có thể cử người đại diện thay mình tham gia quá trình giải quyết tranh chấp,"Trực tiếp hoặc cử đại diện tham gia giải quyết tranh chấp – Rút đơn, thay đổi nội dung tranh chấp, thay người đại diện",Trực tiếp tham gia giải quyết tranh chấp hoặc cử đại diện tham giA. Rút đơn không tham gia giải quyết tranh chấp nữa,Trực tiếp tham gia hoặc cử đại diện tham gia hoặc thay đổi người đại diện hoặc rút đơn không tham gia giải quyết tranh chấp nữa,b
426,Hình thức sa thải người lao động chỉ được áp dụng trong trường hợp nào?,"Người lao động tự ý bỏ việc không có lý do chính đáng, đang bị xử một hình thức kỷ luật mà tái phạm, trộm cắp, tham ô tài sản của doanh nghiệp","Trộm cắp, tham ô, tiết lộ bí mật công nghệ – kinh doanh của doanh nghiệp, đang bị kỷ luật chuyển làm việc khác lại tái phạm, tự ý bỏ việc","Người lao động tự ý bỏ việc 7 ngày 1 tháng, 20 ngày 1 năm không có lý do chính đáng, trộm cắp tham ô, tiết lộ bí mật của doanh nghiệp, đang bị kỷ luật chuyển làm việc khác lại tái phạm","Người lao động tự ý bỏ việc từ 7 đến 20 ngày không có lý do chính đáng, trộm cắp, tiết lộ bí mật, tái phạm nhiều lần mà không xử",c
427,Người sử dụng lao động có nghĩa vụ gì đối với người lao động cao tuổi làm việc tại cơ sở của mình?,"Áp dụng chế độ làm việc mềm dẻo trong một năm trước khi nghỉ hưu. Nếu hưu vẫn tiếp tục làm hợp đồng thì ngoài chế độ hợp đồng mới, vẫn hưởng mọi chế độ như khi chưa hưu (trừ lương)",Áp dụng thì giờ làm việc mềm dẻo trong một năm trước khi nghỉ hưu. Có thể tiếp tục sử dụng những người lưu theo chế độ hợp đồng lao động mới,"Áp dụng chế độ và thời giờ làm việc mềm dẻo, một ngày không làm trọn 8 tiếng, một tuần không làm quá 35 tiếng","Áp dụng thời giờ làm việc mềm dẻo, một ngày không làm quá 7 tiếng, 1 tuần không làm trọn 5 ngày",a
428,Người sử dụng lao động có nghĩa vụ gì đối với lao động chưa thành niên làm việc ở cơ sở mình?,"Giao việc phù hợp với sức khoẻ, có sổ theo dõi riêng, một ngày làm việc không quá 7 tiếng",Lao động chưa thành niên là người chưa đến 18 tuổi nên chỉ được giao 1 số việc theo quy định của Bộ Lao động,"Giao việc phù hợp với sức khoẻ, chỉ giao 1 số việc theo quy định của Bộ Lao động, có sổ theo dõi riêng",Chỉ được giao công việc theo đúng quy định của Bộ Lao động và có sổ theo dõi riêng,a
429,"Theo Luật Lao động, tiền lương của người lao động được trả như thế nào?","Do hai bên thoả thuận trong hợp đồng, mức lương không được thấp hơn mức lương tối thiểu do Nhà nước quy định","Trả theo năng suất lao động, chất lượng, hiệu quả công việc, do hai bên thoả thuận","Trả theo năng suất, chất lượng, hiệu quả công việc, mức lương không thể thấp hơn mức tối thiểu do Nhà nước quy định","Theo năng suất, chất lượng, hiệu quả công việc do hai bên thoả thuận trong hợp đồng nhưng không được thấp hơn mức tối thiểu do Nhà nước quy định",d
430,Cách thức giải quyết tranh chấp lao động:,"Hai bên tự dàn xếp, thương lượng trực tiếp, thông qua trọng tài hoà giải","Thương lượng trực tiếp, thông qua trọng tài hoà giải, tham gia của công đoàn","Thương lượng trực tiếp, tham gia của công đoàn, thông qua trọng tài hoà giải","Thương lượng trực tiếp, tham gia của công đoàn, công khai, khách quan, kịp thời, thông qua trọng tài hoà giải",d
